resource_id,cloud_account_id,business_unit,product_id,feature_id,allocation_status,tag_last_updated,tag_source
res-img-comp-001,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-002,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-002,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-003,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-003,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-004,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-005,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-005,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-006,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-006,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-007,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-007,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-008,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-009,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-009,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-010,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-010,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-011,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-012,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-012,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-013,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-013,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-014,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-014,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-015,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-016,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-016,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-017,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-017,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-018,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-019,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-019,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-020,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-020,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-021,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-021,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-022,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-023,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-023,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-024,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-comp-024,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-img-storage-025,ACCT-IMAGING,Radiology,Medical Imaging Platform,Image Storage,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-001,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-001,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-002,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-002,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-003,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-003,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-004,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-005,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-005,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-006,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-006,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-007,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-008,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-008,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-009,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-009,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-010,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-010,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-011,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-012,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-012,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-013,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-013,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-014,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-015,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-015,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-016,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-016,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-017,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-017,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-018,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-019,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-019,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-app-020,ACCT-PORTAL,Patient Portal,Patient Portal,Patient Login,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-portal-db-020,ACCT-PORTAL,Patient Portal,Patient Portal,Document Access,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-analytics-node-001,ACCT-ANALYTICS,Clinical Analytics,Clinical Analytics Platform,Data Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
res-analytics-node-002,ACCT-ANALYTICS,Clinical Analytics,Clinical Analytics Platform,Data Processing,TAGGED,2026-04-15T14:30:00Z,AWS-Tags-Automation
