billing_id,billing_date,cloud_provider,cloud_account_id,service,region,resource_id,usage_type,cost,currency,allocation_tag,product_id,feature_id,business_unit,billing_status,timestamp
BILL-2026-00001,2026-01-22,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-001,Standard-Storage-GB,739.76,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-22T23:59:59Z
BILL-2026-00002,2026-01-25,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-001,vCPU-Hours,465.97,USD,,,,,FINAL,2026-01-25T23:59:59Z
BILL-2026-00003,2026-01-22,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-002,Standard-Storage-GB,749.44,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-22T23:59:59Z
BILL-2026-00004,2026-01-20,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-002,vCPU-Hours,945.07,USD,,,,,FINAL,2026-01-20T23:59:59Z
BILL-2026-00005,2026-01-27,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-003,Standard-Storage-GB,328.84,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-27T23:59:59Z
BILL-2026-00006,2026-01-16,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-003,vCPU-Hours,555.68,USD,,,,,FINAL,2026-01-16T23:59:59Z
BILL-2026-00007,2026-01-16,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-004,Standard-Storage-GB,531.23,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-16T23:59:59Z
BILL-2026-00008,2026-01-27,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-004,vCPU-Hours,515.64,USD,,,,,FINAL,2026-01-27T23:59:59Z
BILL-2026-00009,2026-01-10,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-005,Standard-Storage-GB,737.15,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-10T23:59:59Z
BILL-2026-00010,2026-01-14,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-005,vCPU-Hours,477.3,USD,,,,,FINAL,2026-01-14T23:59:59Z
BILL-2026-00011,2026-01-10,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-006,Standard-Storage-GB,490.15,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-10T23:59:59Z
BILL-2026-00012,2026-01-27,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-006,vCPU-Hours,550.31,USD,,,,,FINAL,2026-01-27T23:59:59Z
BILL-2026-00013,2026-01-24,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-007,Standard-Storage-GB,773.97,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-24T23:59:59Z
BILL-2026-00014,2026-01-10,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-007,vCPU-Hours,963.88,USD,,,,,FINAL,2026-01-10T23:59:59Z
BILL-2026-00015,2026-01-10,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-008,Standard-Storage-GB,594.57,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-10T23:59:59Z
BILL-2026-00016,2026-01-15,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-008,vCPU-Hours,1293.87,USD,,,,,FINAL,2026-01-15T23:59:59Z
BILL-2026-00017,2026-01-12,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-009,Standard-Storage-GB,284.4,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-12T23:59:59Z
BILL-2026-00018,2026-01-20,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-009,vCPU-Hours,768.12,USD,,,,,FINAL,2026-01-20T23:59:59Z
BILL-2026-00019,2026-01-10,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-010,Standard-Storage-GB,721.5,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-10T23:59:59Z
BILL-2026-00020,2026-01-19,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-010,vCPU-Hours,417.66,USD,,,,,FINAL,2026-01-19T23:59:59Z
BILL-2026-00021,2026-01-25,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-011,Standard-Storage-GB,723.12,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-25T23:59:59Z
BILL-2026-00022,2026-01-22,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-011,vCPU-Hours,565.93,USD,,,,,FINAL,2026-01-22T23:59:59Z
BILL-2026-00023,2026-01-12,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-012,Standard-Storage-GB,805.63,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-12T23:59:59Z
BILL-2026-00024,2026-01-13,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-012,vCPU-Hours,566.09,USD,,,,,FINAL,2026-01-13T23:59:59Z
BILL-2026-00025,2026-01-25,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-013,Standard-Storage-GB,656.48,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-25T23:59:59Z
BILL-2026-00026,2026-01-11,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-013,vCPU-Hours,522.16,USD,,,,,FINAL,2026-01-11T23:59:59Z
BILL-2026-00027,2026-01-15,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-014,Standard-Storage-GB,801.85,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-15T23:59:59Z
BILL-2026-00028,2026-01-16,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-014,vCPU-Hours,691.91,USD,,,,,FINAL,2026-01-16T23:59:59Z
BILL-2026-00029,2026-01-23,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-015,Standard-Storage-GB,563.9,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-23T23:59:59Z
BILL-2026-00030,2026-01-17,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-015,vCPU-Hours,1034.24,USD,,,,,FINAL,2026-01-17T23:59:59Z
BILL-2026-00031,2026-01-14,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-016,Standard-Storage-GB,556.28,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-14T23:59:59Z
BILL-2026-00032,2026-01-18,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-016,vCPU-Hours,957.17,USD,,,,,FINAL,2026-01-18T23:59:59Z
BILL-2026-00033,2026-01-22,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-017,Standard-Storage-GB,501.69,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-22T23:59:59Z
BILL-2026-00034,2026-01-19,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-017,vCPU-Hours,721.19,USD,,,,,FINAL,2026-01-19T23:59:59Z
BILL-2026-00035,2026-01-20,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-018,Standard-Storage-GB,432.59,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-20T23:59:59Z
BILL-2026-00036,2026-01-15,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-018,vCPU-Hours,1298.83,USD,,,,,FINAL,2026-01-15T23:59:59Z
BILL-2026-00037,2026-01-25,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-019,Standard-Storage-GB,490.56,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-25T23:59:59Z
BILL-2026-00038,2026-01-27,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-019,vCPU-Hours,742.18,USD,,,,,FINAL,2026-01-27T23:59:59Z
BILL-2026-00039,2026-01-22,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-020,Standard-Storage-GB,813.83,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-22T23:59:59Z
BILL-2026-00040,2026-01-13,AWS,ACCT-IMAGING,Compute,us-east-1,res-img-comp-020,vCPU-Hours,713.39,USD,,,,,FINAL,2026-01-13T23:59:59Z
BILL-2026-00041,2026-01-18,AWS,ACCT-IMAGING,Object Storage,us-east-1,res-img-storage-021,Standard-Storage-GB,308.34,USD,env=prod;bu=Radiology;product=Imaging,Medical Imaging Platform,Image Storage,Radiology,FINAL,2026-01-18T23:59:59Z
