resource_id,cloud_account_id,service,region,usage_type
res-img-storage-001,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-001,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-002,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-002,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-003,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-003,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-004,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-004,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-005,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-005,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-006,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-006,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-007,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-007,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-008,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-008,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-009,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-009,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-010,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-010,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-011,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-011,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-012,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-012,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-013,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-013,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-014,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-014,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-015,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-015,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-016,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-016,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-017,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-017,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-018,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-018,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-019,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-019,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-020,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-020,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-021,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-021,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
res-img-storage-022,ACCT-IMAGING,Object Storage,us-east-1,Standard-Storage-GB
res-img-comp-022,ACCT-IMAGING,Compute,us-east-1,vCPU-Hours
